Date,Hospital ID,Drug ID,Units Demanded
01-01-2024,H005,D008,200
01-01-2024,H005,D009,64
01-01-2024,H005,D010,48
01-01-2024,H005,D011,49
01-01-2024,H005,D012,26
01-01-2024,H005,D013,61
01-01-2024,H005,D014,29
01-01-2024,H005,D015,50
01-01-2024,H005,D016,22
01-01-2024,H005,D017,12
01-01-2024,H005,D018,9
01-01-2024,H005,D019,14
01-01-2024,H005,D020,10
01-01-2024,H006,D001,10
01-01-2024,H006,D002,91
01-01-2024,H006,D003,39
01-01-2024,H006,D004,36
01-01-2024,H006,D005,17
01-01-2024,H006,D006,22
01-01-2024,H006,D007,17
01-01-2024,H006,D008,100
01-01-2024,H006,D009,27
01-01-2024,H006,D010,21
01-01-2024,H006,D011,18
01-01-2024,H006,D012,8
01-01-2024,H006,D013,23
01-01-2024,H006,D014,11
01-01-2024,H006,D015,17
01-01-2024,H006,D016,8
01-01-2024,H006,D017,10
01-01-2024,H006,D018,7
01-01-2024,H006,D019,21
01-01-2024,H006,D020,13
01-01-2024,H007,D001,4
01-01-2024,H007,D002,32
01-01-2024,H007,D003,13
01-01-2024,H007,D004,23
01-01-2024,H007,D005,10
01-01-2024,H007,D006,16
01-01-2024,H007,D007,13
01-01-2024,H007,D008,189
01-01-2024,H007,D009,47
01-01-2024,H007,D010,44
01-01-2024,H007,D011,13
01-01-2024,H007,D012,6
01-01-2024,H007,D013,13
01-01-2024,H007,D014,7
01-01-2024,H007,D015,13
01-01-2024,H007,D016,5
01-01-2024,H007,D017,8
01-01-2024,H007,D018,7
01-01-2024,H007,D019,13
01-01-2024,H007,D020,11
01-01-2024,H008,D001,4
01-01-2024,H008,D002,26
01-01-2024,H008,D003,13
01-01-2024,H008,D004,71
01-01-2024,H008,D005,30
01-01-2024,H008,D006,42
01-01-2024,H008,D007,36
01-01-2024,H008,D008,129
01-01-2024,H008,D009,35
01-01-2024,H008,D010,30
01-01-2024,H008,D011,19
01-01-2024,H008,D012,8
01-01-2024,H008,D013,17
01-01-2024,H008,D014,9
01-01-2024,H008,D015,17
01-01-2024,H008,D016,7
01-01-2024,H008,D017,13
01-01-2024,H008,D018,11
01-01-2024,H008,D019,37
01-01-2024,H008,D020,29
01-01-2024,H009,D001,2
01-01-2024,H009,D002,21
01-01-2024,H009,D003,9
01-01-2024,H009,D004,21
01-01-2024,H009,D005,8
01-01-2024,H009,D006,14
01-01-2024,H009,D007,9
01-01-2024,H009,D008,50
01-01-2024,H009,D009,14
01-01-2024,H009,D010,14
01-01-2024,H009,D011,13
01-01-2024,H009,D012,5
01-01-2024,H009,D013,13
01-01-2024,H009,D014,6
01-01-2024,H009,D015,11
01-01-2024,H009,D016,5
01-01-2024,H009,D017,7
01-01-2024,H009,D018,5
01-01-2024,H009,D019,12
01-01-2024,H009,D020,7
01-01-2024,H010,D001,2
01-01-2024,H010,D002,15
01-01-2024,H010,D003,8
01-01-2024,H010,D004,18
01-01-2024,H010,D005,7
01-01-2024,H010,D006,11
01-01-2024,H010,D007,8
01-01-2024,H010,D008,44
01-01-2024,H010,D009,13
01-01-2024,H010,D010,10
01-01-2024,H010,D011,9
01-01-2024,H010,D012,5
01-01-2024,H010,D013,12
01-01-2024,H010,D014,6
01-01-2024,H010,D015,8
01-01-2024,H010,D016,4
01-01-2024,H010,D017,5
01-01-2024,H010,D018,4
01-01-2024,H010,D019,9
01-01-2024,H010,D020,6
02-01-2024,H001,D001,13
02-01-2024,H001,D002,90
02-01-2024,H001,D003,42
02-01-2024,H001,D004,113
02-01-2024,H001,D005,44
02-01-2024,H001,D006,57
02-01-2024,H001,D007,44
02-01-2024,H001,D008,279
02-01-2024,H001,D009,72
02-01-2024,H001,D010,62
02-01-2024,H001,D011,63
02-01-2024,H001,D012,31
02-01-2024,H001,D013,69
02-01-2024,H001,D014,31
02-01-2024,H001,D015,57
02-01-2024,H001,D016,23
02-01-2024,H001,D017,30
02-01-2024,H001,D018,26
02-01-2024,H001,D019,56
02-01-2024,H001,D020,41
02-01-2024,H002,D001,5
02-01-2024,H002,D002,37
02-01-2024,H002,D003,15
02-01-2024,H002,D004,43
02-01-2024,H002,D005,18
02-01-2024,H002,D006,26
02-01-2024,H002,D007,23
02-01-2024,H002,D008,282
02-01-2024,H002,D009,96
02-01-2024,H002,D010,75
02-01-2024,H002,D011,87
02-01-2024,H002,D012,38
02-01-2024,H002,D013,88
02-01-2024,H002,D014,43
02-01-2024,H002,D015,65
02-01-2024,H002,D016,34
02-01-2024,H002,D017,17
02-01-2024,H002,D018,13
02-01-2024,H002,D019,24
02-01-2024,H002,D020,15
02-01-2024,H003,D001,9
02-01-2024,H003,D002,71
02-01-2024,H003,D003,32
02-01-2024,H003,D004,64
02-01-2024,H003,D005,25
02-01-2024,H003,D006,46
02-01-2024,H003,D007,31
02-01-2024,H003,D008,191
02-01-2024,H003,D009,58
02-01-2024,H003,D010,47
02-01-2024,H003,D011,38
02-01-2024,H003,D012,18
02-01-2024,H003,D013,46
02-01-2024,H003,D014,20
02-01-2024,H003,D015,32
02-01-2024,H003,D016,16
02-01-2024,H003,D017,22
02-01-2024,H003,D018,17
02-01-2024,H003,D019,35
02-01-2024,H003,D020,22
02-01-2024,H004,D001,8
02-01-2024,H004,D002,72
02-01-2024,H004,D003,27
02-01-2024,H004,D004,165
02-01-2024,H004,D005,76
02-01-2024,H004,D006,110
02-01-2024,H004,D007,82
02-01-2024,H004,D008,180
02-01-2024,H004,D009,50
02-01-2024,H004,D010,41
02-01-2024,H004,D011,38
02-01-2024,H004,D012,18
02-01-2024,H004,D013,41
02-01-2024,H004,D014,21
02-01-2024,H004,D015,30
02-01-2024,H004,D016,14
02-01-2024,H004,D017,21
02-01-2024,H004,D018,17
02-01-2024,H004,D019,91
02-01-2024,H004,D020,65
02-01-2024,H005,D001,3
02-01-2024,H005,D002,23
02-01-2024,H005,D003,11
02-01-2024,H005,D004,27
02-01-2024,H005,D005,13
02-01-2024,H005,D006,17
02-01-2024,H005,D007,14
02-01-2024,H005,D008,195
02-01-2024,H005,D009,56
02-01-2024,H005,D010,49
02-01-2024,H005,D011,48
02-01-2024,H005,D012,22
02-01-2024,H005,D013,62
02-01-2024,H005,D014,28
02-01-2024,H005,D015,43
02-01-2024,H005,D016,22
02-01-2024,H005,D017,13
02-01-2024,H005,D018,9
02-01-2024,H005,D019,16
02-01-2024,H005,D020,10
02-01-2024,H006,D001,10
02-01-2024,H006,D002,89
02-01-2024,H006,D003,41
02-01-2024,H006,D004,37
02-01-2024,H006,D005,16
02-01-2024,H006,D006,25
02-01-2024,H006,D007,17
02-01-2024,H006,D008,90
02-01-2024,H006,D009,31
02-01-2024,H006,D010,22
02-01-2024,H006,D011,19
02-01-2024,H006,D012,8
02-01-2024,H006,D013,18
02-01-2024,H006,D014,11
02-01-2024,H006,D015,18
02-01-2024,H006,D016,8
02-01-2024,H006,D017,9
02-01-2024,H006,D018,7
02-01-2024,H006,D019,17
02-01-2024,H006,D020,13
02-01-2024,H007,D001,4
02-01-2024,H007,D002,30
02-01-2024,H007,D003,14
02-01-2024,H007,D004,25
02-01-2024,H007,D005,12
02-01-2024,H007,D006,17
02-01-2024,H007,D007,12
02-01-2024,H007,D008,179
02-01-2024,H007,D009,52
02-01-2024,H007,D010,41
02-01-2024,H007,D011,13
02-01-2024,H007,D012,7
02-01-2024,H007,D013,13
02-01-2024,H007,D014,7
02-01-2024,H007,D015,10
02-01-2024,H007,D016,5
02-01-2024,H007,D017,9
02-01-2024,H007,D018,7
02-01-2024,H007,D019,14
02-01-2024,H007,D020,9
02-01-2024,H008,D001,3
02-01-2024,H008,D002,28
02-01-2024,H008,D003,12
02-01-2024,H008,D004,73
02-01-2024,H008,D005,30
02-01-2024,H008,D006,48
02-01-2024,H008,D007,36
02-01-2024,H008,D008,115
02-01-2024,H008,D009,38
02-01-2024,H008,D010,33
02-01-2024,H008,D011,18
02-01-2024,H008,D012,9
02-01-2024,H008,D013,19
02-01-2024,H008,D014,9
02-01-2024,H008,D015,14
02-01-2024,H008,D016,7
02-01-2024,H008,D017,11
02-01-2024,H008,D018,10
02-01-2024,H008,D019,43
02-01-2024,H008,D020,28
02-01-2024,H009,D001,2
02-01-2024,H009,D002,21
02-01-2024,H009,D003,9
02-01-2024,H009,D004,21
02-01-2024,H009,D005,10
02-01-2024,H009,D006,13
02-01-2024,H009,D007,11
02-01-2024,H009,D008,59
02-01-2024,H009,D009,15
02-01-2024,H009,D010,12
02-01-2024,H009,D011,11
02-01-2024,H009,D012,5
02-01-2024,H009,D013,12
02-01-2024,H009,D014,7
02-01-2024,H009,D015,10
02-01-2024,H009,D016,5
02-01-2024,H009,D017,7
02-01-2024,H009,D018,4
02-01-2024,H009,D019,12
02-01-2024,H009,D020,7
02-01-2024,H010,D001,2
02-01-2024,H010,D002,17
02-01-2024,H010,D003,8
02-01-2024,H010,D004,18
02-01-2024,H010,D005,7
02-01-2024,H010,D006,11
02-01-2024,H010,D007,7
02-01-2024,H010,D008,40
02-01-2024,H010,D009,14
02-01-2024,H010,D010,12
02-01-2024,H010,D011,11
02-01-2024,H010,D012,5
02-01-2024,H010,D013,10
02-01-2024,H010,D014,6
02-01-2024,H010,D015,8
02-01-2024,H010,D016,4
02-01-2024,H010,D017,5
02-01-2024,H010,D018,4
02-01-2024,H010,D019,9
02-01-2024,H010,D020,6
03-01-2024,H001,D001,11
03-01-2024,H001,D002,110
03-01-2024,H001,D003,46
03-01-2024,H001,D004,111
03-01-2024,H001,D005,41
03-01-2024,H001,D006,71
03-01-2024,H001,D007,47
03-01-2024,H001,D008,237
03-01-2024,H001,D009,89
03-01-2024,H001,D010,61
03-01-2024,H001,D011,60
03-01-2024,H001,D012,32
03-01-2024,H001,D013,74
03-01-2024,H001,D014,34
03-01-2024,H001,D015,56
03-01-2024,H001,D016,25
03-01-2024,H001,D017,30
03-01-2024,H001,D018,24
03-01-2024,H001,D019,56
03-01-2024,H001,D020,40
03-01-2024,H002,D001,5
03-01-2024,H002,D002,39
03-01-2024,H002,D003,15
03-01-2024,H002,D004,44
03-01-2024,H002,D005,17
03-01-2024,H002,D006,28
03-01-2024,H002,D007,21
03-01-2024,H002,D008,317
03-01-2024,H002,D009,85
03-01-2024,H002,D010,66
03-01-2024,H002,D011,74
03-01-2024,H002,D012,40
03-01-2024,H002,D013,89
03-01-2024,H002,D014,39
03-01-2024,H002,D015,63
03-01-2024,H002,D016,34
03-01-2024,H002,D017,16
03-01-2024,H002,D018,16
03-01-2024,H002,D019,25
03-01-2024,H002,D020,15
03-01-2024,H003,D001,7
03-01-2024,H003,D002,71
03-01-2024,H003,D003,28
03-01-2024,H003,D004,64
03-01-2024,H003,D005,30
03-01-2024,H003,D006,46
03-01-2024,H003,D007,35
03-01-2024,H003,D008,182
03-01-2024,H003,D009,51
03-01-2024,H003,D010,39
03-01-2024,H003,D011,43
03-01-2024,H003,D012,19
03-01-2024,H003,D013,42
03-01-2024,H003,D014,23
03-01-2024,H003,D015,31
03-01-2024,H003,D016,16
03-01-2024,H003,D017,18
03-01-2024,H003,D018,16
03-01-2024,H003,D019,31
03-01-2024,H003,D020,22
03-01-2024,H004,D001,7
03-01-2024,H004,D002,66
03-01-2024,H004,D003,31
03-01-2024,H004,D004,168
03-01-2024,H004,D005,77
03-01-2024,H004,D006,101
03-01-2024,H004,D007,74
03-01-2024,H004,D008,187
03-01-2024,H004,D009,49
03-01-2024,H004,D010,48
03-01-2024,H004,D011,31
03-01-2024,H004,D012,18
03-01-2024,H004,D013,33
03-01-2024,H004,D014,20
03-01-2024,H004,D015,31
03-01-2024,H004,D016,16
03-01-2024,H004,D017,18
03-01-2024,H004,D018,16
03-01-2024,H004,D019,96
03-01-2024,H004,D020,61
03-01-2024,H005,D001,3
03-01-2024,H005,D002,25
03-01-2024,H005,D003,11
03-01-2024,H005,D004,31
03-01-2024,H005,D005,13
03-01-2024,H005,D006,21
03-01-2024,H005,D007,13
03-01-2024,H005,D008,183
03-01-2024,H005,D009,65
03-01-2024,H005,D010,53
03-01-2024,H005,D011,53
03-01-2024,H005,D012,26
03-01-2024,H005,D013,55
03-01-2024,H005,D014,27
03-01-2024,H005,D015,46
03-01-2024,H005,D016,21
03-01-2024,H005,D017,12
03-01-2024,H005,D018,9
03-01-2024,H005,D019,17
03-01-2024,H005,D020,12
03-01-2024,H006,D001,12
03-01-2024,H006,D002,89
03-01-2024,H006,D003,38
03-01-2024,H006,D004,39
03-01-2024,H006,D005,16
03-01-2024,H006,D006,21
03-01-2024,H006,D007,19
03-01-2024,H006,D008,102
03-01-2024,H006,D009,32
03-01-2024,H006,D010,25
03-01-2024,H006,D011,20
03-01-2024,H006,D012,9
03-01-2024,H006,D013,23
03-01-2024,H006,D014,11
03-01-2024,H006,D015,15
03-01-2024,H006,D016,7
03-01-2024,H006,D017,9
03-01-2024,H006,D018,8
03-01-2024,H006,D019,21
03-01-2024,H006,D020,12
03-01-2024,H007,D001,4
03-01-2024,H007,D002,28
03-01-2024,H007,D003,15
03-01-2024,H007,D004,28
03-01-2024,H007,D005,12
03-01-2024,H007,D006,16
03-01-2024,H007,D007,12
03-01-2024,H007,D008,164
03-01-2024,H007,D009,47
03-01-2024,H007,D010,47
03-01-2024,H007,D011,15
03-01-2024,H007,D012,7
03-01-2024,H007,D013,16
03-01-2024,H007,D014,7
03-01-2024,H007,D015,12
03-01-2024,H007,D016,6
03-01-2024,H007,D017,9
03-01-2024,H007,D018,6
03-01-2024,H007,D019,13
03-01-2024,H007,D020,9
03-01-2024,H008,D001,4
03-01-2024,H008,D002,29
03-01-2024,H008,D003,12
03-01-2024,H008,D004,77
03-01-2024,H008,D005,32
03-01-2024,H008,D006,45
03-01-2024,H008,D007,32
03-01-2024,H008,D008,134
03-01-2024,H008,D009,39
03-01-2024,H008,D010,34
03-01-2024,H008,D011,18
03-01-2024,H008,D012,9
03-01-2024,H008,D013,19
03-01-2024,H008,D014,9
03-01-2024,H008,D015,17
03-01-2024,H008,D016,7
03-01-2024,H008,D017,11
03-01-2024,H008,D018,9
03-01-2024,H008,D019,41
03-01-2024,H008,D020,28
03-01-2024,H009,D001,3
03-01-2024,H009,D002,19
03-01-2024,H009,D003,8
03-01-2024,H009,D004,18
03-01-2024,H009,D005,8
03-01-2024,H009,D006,13
03-01-2024,H009,D007,9
03-01-2024,H009,D008,53
03-01-2024,H009,D009,18
03-01-2024,H009,D010,13
03-01-2024,H009,D011,13
03-01-2024,H009,D012,6
03-01-2024,H009,D013,13
03-01-2024,H009,D014,7
03-01-2024,H009,D015,12
03-01-2024,H009,D016,6
03-01-2024,H009,D017,6
03-01-2024,H009,D018,6
03-01-2024,H009,D019,11
03-01-2024,H009,D020,7
03-01-2024,H010,D001,2
03-01-2024,H010,D002,18
03-01-2024,H010,D003,7
03-01-2024,H010,D004,16
03-01-2024,H010,D005,7
03-01-2024,H010,D006,10
03-01-2024,H010,D007,7
03-01-2024,H010,D008,39
03-01-2024,H010,D009,12
03-01-2024,H010,D010,10
03-01-2024,H010,D011,9
03-01-2024,H010,D012,5
03-01-2024,H010,D013,10
03-01-2024,H010,D014,5
03-01-2024,H010,D015,9
03-01-2024,H010,D016,4
03-01-2024,H010,D017,5
03-01-2024,H010,D018,4
03-01-2024,H010,D019,8
03-01-2024,H010,D020,5
04-01-2024,H001,D001,12
04-01-2024,H001,D002,95
04-01-2024,H001,D003,42
04-01-2024,H001,D004,93
04-01-2024,H001,D005,39
04-01-2024,H001,D006,64
04-01-2024,H001,D007,45
04-01-2024,H001,D008,260
04-01-2024,H001,D009,82
04-01-2024,H001,D010,70
04-01-2024,H001,D011,56
04-01-2024,H001,D012,31
04-01-2024,H001,D013,69
04-01-2024,H001,D014,30
04-01-2024,H001,D015,59
04-01-2024,H001,D016,28
04-01-2024,H001,D017,28
04-01-2024,H001,D018,24
04-01-2024,H001,D019,58
04-01-2024,H001,D020,40
04-01-2024,H002,D001,4
04-01-2024,H002,D002,33
04-01-2024,H002,D003,16
04-01-2024,H002,D004,44
04-01-2024,H002,D005,19
04-01-2024,H002,D006,27
04-01-2024,H002,D007,21
04-01-2024,H002,D008,307
04-01-2024,H002,D009,78
04-01-2024,H002,D010,68
04-01-2024,H002,D011,85
04-01-2024,H002,D012,41
04-01-2024,H002,D013,87
04-01-2024,H002,D014,44
04-01-2024,H002,D015,64
04-01-2024,H002,D016,32
04-01-2024,H002,D017,18
04-01-2024,H002,D018,14
04-01-2024,H002,D019,22
04-01-2024,H002,D020,16
04-01-2024,H003,D001,7
04-01-2024,H003,D002,61
04-01-2024,H003,D003,27
04-01-2024,H003,D004,63
04-01-2024,H003,D005,25
04-01-2024,H003,D006,45
04-01-2024,H003,D007,32
04-01-2024,H003,D008,179
04-01-2024,H003,D009,56
04-01-2024,H003,D010,43
04-01-2024,H003,D011,36
04-01-2024,H003,D012,19
04-01-2024,H003,D013,44
04-01-2024,H003,D014,23
04-01-2024,H003,D015,34
04-01-2024,H003,D016,15
04-01-2024,H003,D017,19
04-01-2024,H003,D018,15
04-01-2024,H003,D019,36
04-01-2024,H003,D020,25
04-01-2024,H004,D001,8
04-01-2024,H004,D002,71
04-01-2024,H004,D003,30
04-01-2024,H004,D004,154
04-01-2024,H004,D005,63
04-01-2024,H004,D006,95
04-01-2024,H004,D007,73
04-01-2024,H004,D008,158
04-01-2024,H004,D009,48
04-01-2024,H004,D010,41
04-01-2024,H004,D011,32
04-01-2024,H004,D012,18
04-01-2024,H004,D013,34
04-01-2024,H004,D014,19
04-01-2024,H004,D015,30
04-01-2024,H004,D016,16
04-01-2024,H004,D017,18
04-01-2024,H004,D018,16
04-01-2024,H004,D019,96
04-01-2024,H004,D020,66
04-01-2024,H005,D001,3
04-01-2024,H005,D002,23
04-01-2024,H005,D003,10
04-01-2024,H005,D004,31
04-01-2024,H005,D005,14
04-01-2024,H005,D006,19
04-01-2024,H005,D007,14
04-01-2024,H005,D008,183
04-01-2024,H005,D009,62
04-01-2024,H005,D010,45
04-01-2024,H005,D011,52
04-01-2024,H005,D012,25
04-01-2024,H005,D013,58
04-01-2024,H005,D014,27
04-01-2024,H005,D015,42
04-01-2024,H005,D016,22
04-01-2024,H005,D017,11
04-01-2024,H005,D018,10
04-01-2024,H005,D019,14
04-01-2024,H005,D020,11
04-01-2024,H006,D001,11
04-01-2024,H006,D002,79
04-01-2024,H006,D003,39
04-01-2024,H006,D004,33
04-01-2024,H006,D005,14
04-01-2024,H006,D006,26
04-01-2024,H006,D007,16
04-01-2024,H006,D008,101
04-01-2024,H006,D009,27
04-01-2024,H006,D010,25
04-01-2024,H006,D011,20
04-01-2024,H006,D012,9
04-01-2024,H006,D013,20
04-01-2024,H006,D014,10
04-01-2024,H006,D015,16
04-01-2024,H006,D016,8
04-01-2024,H006,D017,10
04-01-2024,H006,D018,9
04-01-2024,H006,D019,17
04-01-2024,H006,D020,14
04-01-2024,H007,D001,4
04-01-2024,H007,D002,27
04-01-2024,H007,D003,12
04-01-2024,H007,D004,27
04-01-2024,H007,D005,11
04-01-2024,H007,D006,18
04-01-2024,H007,D007,11
04-01-2024,H007,D008,186
04-01-2024,H007,D009,49
04-01-2024,H007,D010,40
04-01-2024,H007,D011,12
04-01-2024,H007,D012,7
04-01-2024,H007,D013,15
04-01-2024,H007,D014,7
04-01-2024,H007,D015,11
04-01-2024,H007,D016,6
04-01-2024,H007,D017,8
04-01-2024,H007,D018,7
04-01-2024,H007,D019,13
04-01-2024,H007,D020,9
04-01-2024,H008,D001,3
04-01-2024,H008,D002,27
04-01-2024,H008,D003,14
04-01-2024,H008,D004,74
04-01-2024,H008,D005,29
04-01-2024,H008,D006,51
04-01-2024,H008,D007,34
04-01-2024,H008,D008,130
04-01-2024,H008,D009,43
04-01-2024,H008,D010,33
04-01-2024,H008,D011,16
04-01-2024,H008,D012,9
04-01-2024,H008,D013,19
04-01-2024,H008,D014,9
04-01-2024,H008,D015,14
04-01-2024,H008,D016,7
04-01-2024,H008,D017,13
04-01-2024,H008,D018,10
04-01-2024,H008,D019,43
04-01-2024,H008,D020,29
04-01-2024,H009,D001,2
04-01-2024,H009,D002,19
04-01-2024,H009,D003,9
04-01-2024,H009,D004,22
04-01-2024,H009,D005,8
04-01-2024,H009,D006,13
04-01-2024,H009,D007,10
04-01-2024,H009,D008,59
04-01-2024,H009,D009,16
04-01-2024,H009,D010,14
04-01-2024,H009,D011,11
04-01-2024,H009,D012,6
04-01-2024,H009,D013,12
04-01-2024,H009,D014,7
04-01-2024,H009,D015,12
04-01-2024,H009,D016,5
04-01-2024,H009,D017,6
04-01-2024,H009,D018,5
04-01-2024,H009,D019,11
04-01-2024,H009,D020,8
04-01-2024,H010,D001,2
04-01-2024,H010,D002,16
04-01-2024,H010,D003,7
04-01-2024,H010,D004,16
04-01-2024,H010,D005,6
04-01-2024,H010,D006,11
04-01-2024,H010,D007,8
04-01-2024,H010,D008,42
04-01-2024,H010,D009,13
04-01-2024,H010,D010,12
04-01-2024,H010,D011,9
04-01-2024,H010,D012,5
04-01-2024,H010,D013,11
04-01-2024,H010,D014,5
04-01-2024,H010,D015,8
04-01-2024,H010,D016,4
04-01-2024,H010,D017,6
04-01-2024,H010,D018,4
04-01-2024,H010,D019,9
04-01-2024,H010,D020,7
05-01-2024,H001,D001,13
05-01-2024,H001,D002,92
05-01-2024,H001,D003,47
05-01-2024,H001,D004,106
05-01-2024,H001,D005,43
05-01-2024,H001,D006,69
05-01-2024,H001,D007,54
05-01-2024,H001,D008,296
05-01-2024,H001,D009,80
05-01-2024,H001,D010,61
05-01-2024,H001,D011,70
05-01-2024,H001,D012,32
05-01-2024,H001,D013,61
05-01-2024,H001,D014,37
05-01-2024,H001,D015,59
05-01-2024,H001,D016,25
05-01-2024,H001,D017,32
05-01-2024,H001,D018,24
05-01-2024,H001,D019,48
05-01-2024,H001,D020,36
05-01-2024,H002,D001,5
05-01-2024,H002,D002,32
05-01-2024,H002,D003,16
05-01-2024,H002,D004,43
05-01-2024,H002,D005,19
05-01-2024,H002,D006,31
05-01-2024,H002,D007,20
05-01-2024,H002,D008,279
05-01-2024,H002,D009,93
05-01-2024,H002,D010,72
05-01-2024,H002,D011,76
05-01-2024,H002,D012,37
05-01-2024,H002,D013,79
05-01-2024,H002,D014,40
05-01-2024,H002,D015,70
05-01-2024,H002,D016,32
05-01-2024,H002,D017,20
05-01-2024,H002,D018,14
05-01-2024,H002,D019,24
05-01-2024,H002,D020,17
05-01-2024,H003,D001,7
05-01-2024,H003,D002,67
05-01-2024,H003,D003,27
05-01-2024,H003,D004,73
05-01-2024,H003,D005,25
05-01-2024,H003,D006,41
05-01-2024,H003,D007,28
05-01-2024,H003,D008,192
05-01-2024,H003,D009,52
05-01-2024,H003,D010,44
05-01-2024,H003,D011,36
05-01-2024,H003,D012,20
05-01-2024,H003,D013,40
05-01-2024,H003,D014,23
05-01-2024,H003,D015,32
05-01-2024,H003,D016,15
05-01-2024,H003,D017,18
05-01-2024,H003,D018,16
05-01-2024,H003,D019,35
05-01-2024,H003,D020,22
05-01-2024,H004,D001,9
05-01-2024,H004,D002,63
05-01-2024,H004,D003,30
05-01-2024,H004,D004,162
05-01-2024,H004,D005,68
05-01-2024,H004,D006,105
05-01-2024,H004,D007,72
05-01-2024,H004,D008,159
05-01-2024,H004,D009,57
05-01-2024,H004,D010,48
05-01-2024,H004,D011,34
05-01-2024,H004,D012,15
05-01-2024,H004,D013,39
05-01-2024,H004,D014,18
05-01-2024,H004,D015,27
05-01-2024,H004,D016,13
05-01-2024,H004,D017,21
05-01-2024,H004,D018,17
05-01-2024,H004,D019,77
05-01-2024,H004,D020,57
05-01-2024,H005,D001,3
05-01-2024,H005,D002,25
05-01-2024,H005,D003,10
05-01-2024,H005,D004,27
05-01-2024,H005,D005,13
05-01-2024,H005,D006,17
05-01-2024,H005,D007,15
05-01-2024,H005,D008,181
05-01-2024,H005,D009,53
05-01-2024,H005,D010,45
05-01-2024,H005,D011,57
05-01-2024,H005,D012,27
05-01-2024,H005,D013,62
05-01-2024,H005,D014,28
05-01-2024,H005,D015,49
05-01-2024,H005,D016,20
05-01-2024,H005,D017,11
05-01-2024,H005,D018,11
05-01-2024,H005,D019,14
05-01-2024,H005,D020,10
05-01-2024,H006,D001,10
05-01-2024,H006,D002,78
05-01-2024,H006,D003,37
05-01-2024,H006,D004,37
05-01-2024,H006,D005,15
05-01-2024,H006,D006,25
05-01-2024,H006,D007,18
05-01-2024,H006,D008,91
05-01-2024,H006,D009,27
05-01-2024,H006,D010,23
05-01-2024,H006,D011,20
05-01-2024,H006,D012,8
05-01-2024,H006,D013,21
05-01-2024,H006,D014,10
05-01-2024,H006,D015,17
05-01-2024,H006,D016,8
05-01-2024,H006,D017,9
05-01-2024,H006,D018,9
05-01-2024,H006,D019,20
05-01-2024,H006,D020,12
05-01-2024,H007,D001,4
05-01-2024,H007,D002,29
05-01-2024,H007,D003,14
05-01-2024,H007,D004,28
05-01-2024,H007,D005,11
05-01-2024,H007,D006,15
05-01-2024,H007,D007,12
05-01-2024,H007,D008,176
05-01-2024,H007,D009,54
05-01-2024,H007,D010,41
